Category,Species,Weight,Height,Width,Length1,Length2,Length3
1,Bream,242.0,11.5200,4.0200,23.2,25.4,30.0
1,Bream,290.0,12.4800,4.3056,24.0,26.3,31.2
1,Bream,340.0,12.3778,4.6961,23.9,26.5,31.1
1,Bream,363.0,12.7300,4.4555,26.3,29.0,33.5
1,Bream,430.0,12.4440,5.1340,26.5,29.0,34.0
1,Bream,450.0,13.6024,4.9274,26.8,29.7,34.7
1,Bream,500.0,14.1795,5.2785,26.8,29.7,34.5
1,Bream,390.0,12.6700,4.6900,27.6,30.0,35.0
1,Bream,450.0,14.0049,4.8438,27.6,30.0,35.1
1,Bream,500.0,14.2266,4.9594,28.5,30.7,36.2
1,Bream,475.0,14.2628,5.1042,28.4,31.0,36.2
1,Bream,500.0,14.3714,4.8146,28.7,31.0,36.2
1,Bream,500.0,13.7592,4.3680,29.1,31.5,36.4
1,Bream,340.0,13.9129,4.6380,29.5,32.0,37.3
1,Bream,600.0,14.9544,5.1708,29.4,32.0,37.2
1,Bream,600.0,15.4380,5.5800,29.4,32.0,37.2
1,Bream,700.0,16.2405,5.5890,30.4,33.0,38.3
1,Bream,700.0,16.3600,6.0532,30.4,33.0,38.5
1,Bream,610.0,16.3618,6.0900,30.9,33.5,38.6
1,Bream,650.0,16.5170,5.8515,31.0,33.5,38.7
1,Bream,575.0,16.2405,5.9532,31.3,34.0,39.5
1,Bream,685.0,17.6235,6.3705,31.4,34.0,39.2
1,Bream,620.0,17.6950,6.3600,31.5,34.5,39.7
1,Bream,680.0,17.6235,6.3705,31.8,35.0,40.6
1,Bream,700.0,17.6950,6.3705,31.9,35.0,40.5
1,Bream,725.0,17.8146,6.5500,31.8,35.0,40.9
1,Bream,720.0,18.0342,6.5500,32.0,35.0,40.6
1,Bream,714.0,18.0840,6.2920,32.7,36.0,41.5
1,Bream,850.0,18.9570,6.6030,32.8,36.0,41.6
1,Bream,1000.0,18.9124,7.2900,33.5,37.0,42.6
1,Bream,920.0,19.3680,7.5852,35.0,38.5,44.1
1,Bream,955.0,19.1700,7.6800,35.0,38.5,44.0
1,Bream,925.0,18.9570,7.7860,36.2,39.5,45.3
1,Bream,975.0,19.3680,8.1420,37.4,41.0,45.9
2,Roach,40.0,6.1100,1.7290,12.9,14.1,16.2
2,Roach,69.0,5.5280,1.9992,16.5,18.2,20.3
2,Roach,78.0,5.4440,2.1960,17.5,18.8,21.2
2,Roach,87.0,5.0820,2.0832,18.2,19.8,22.2
2,Roach,120.0,5.6925,2.3076,18.6,20.0,22.2
2,Roach,0.0,5.9175,3.1746,19.8,21.5,24.1
2,Roach,110.0,5.6925,3.5550,20.0,22.0,24.0
2,Roach,120.0,5.9175,3.3075,20.5,22.5,25.3
2,Roach,150.0,5.6925,3.6675,20.5,22.5,25.0
2,Roach,145.0,6.3840,3.5340,22.0,24.0,27.2
2,Roach,160.0,6.1100,3.4075,22.0,24.0,27.2
2,Roach,140.0,5.6400,3.5250,22.0,24.0,27.2
2,Roach,160.0,6.1100,3.4075,22.5,25.0,28.0
2,Roach,169.0,6.9840,3.8300,23.0,25.0,28.0
2,Roach,161.0,6.1100,3.4075,23.5,26.0,28.7
2,Roach,200.0,7.0334,3.8203,25.0,27.0,30.0
2,Roach,180.0,6.5500,3.3250,25.2,27.3,30.8
2,Roach,290.0,8.8768,4.4968,29.0,31.7,35.0
2,Roach,272.0,8.5680,4.7736,30.0,32.7,36.2
2,Roach,390.0,11.7300,4.3350,31.7,34.0,37.8
